Index,X_mm,Z_mm,Intensity,Valid
480,-0.997293,0.134589,163,1
481,-0.994893,0.134827,167,1
482,-0.992492,0.134725,164,1
483,-0.990092,0.134674,158,1
484,-0.987692,0.134657,159,1
485,-0.985292,0.134725,168,1
486,-0.982891,0.134657,172,1
487,-0.980491,0.134368,164,1
488,-0.978091,0.134334,157,1
489,-0.975691,0.134572,163,1
490,-0.97329,0.134861,165,1
491,-0.97089,0.134946,172,1
492,-0.96849,0.135031,179,1
493,-0.96609,0.134759,174,1
494,-0.96369,0.134742,172,1
495,-0.961289,0.134827,167,1
496,-0.958889,0.134759,162,1
497,-0.956489,0.134657,160,1
498,-0.954089,0.13447,163,1
499,-0.951688,0.134657,165,1
500,-0.949288,0.134436,164,1
501,-0.946888,0.134538,167,1
502,-0.944488,0.134419,171,1
503,-0.942088,0.134385,169,1
504,-0.939687,0.134368,162,1
505,-0.937287,0.134198,156,1
506,-0.934887,0.134249,154,1
507,-0.932487,0.134385,154,1
508,-0.930086,0.13447,152,1
509,-0.927686,0.134385,149,1
510,-0.925286,0.134232,151,1
511,-0.922886,0.134147,150,1
512,-0.920486,0.134249,150,1
513,-0.918085,0.134334,154,1
514,-0.915685,0.13447,157,1
515,-0.913285,0.134385,152,1
516,-0.910885,0.134232,146,1
517,-0.908484,0.134164,151,1
518,-0.906084,0.133824,155,1
519,-0.903684,0.133654,155,1
520,-0.901284,0.133739,156,1
521,-0.898884,0.133892,159,1
522,-0.896483,0.133892,157,1
523,-0.894083,0.13379,154,1
524,-0.891683,0.133824,153,1
525,-0.889283,0.133892,148,1
526,-0.886882,0.13379,145,1
527,-0.884482,0.133722,150,1
528,-0.882082,0.13379,166,1
529,-0.879682,0.133569,164,1
530,-0.877282,0.133246,153,1
531,-0.874881,0.133025,151,1
532,-0.872481,0.133365,159,1
533,-0.870081,0.133994,166,1
534,-0.867681,0.1343,165,1
535,-0.86528,0.13362,155,1
536,-0.86288,0.133722,154,1
537,-0.86048,0.133807,153,1
538,-0.85808,0.133807,148,1
539,-0.85568,0.133875,150,1
540,-0.853279,0.134181,159,1
541,-0.850879,0.134045,160,1
542,-0.848479,0.133654,160,1
543,-0.846079,0.13362,165,1
544,-0.843678,0.134079,176,1
545,-0.841278,0.134096,179,1
546,-0.838878,0.133926,169,1
547,-0.836478,0.133552,156,1
548,-0.834078,0.133569,153,1
549,-0.831677,0.133637,150,1
550,-0.829277,0.133926,151,1
551,-0.826877,0.134164,147,1
552,-0.824477,0.134215,148,1
553,-0.822076,0.133773,150,1
554,-0.819676,0.133841,155,1
555,-0.817276,0.13413,160,1
556,-0.814876,0.134198,162,1
557,-0.812476,0.134164,160,1
558,-0.810075,0.134249,162,1
559,-0.807675,0.134198,163,1
560,-0.805275,0.13396,162,1
561,-0.802875,0.133892,163,1
562,-0.800474,0.133909,164,1
563,-0.798074,0.133824,161,1
564,-0.795674,0.13362,159,1
565,-0.793274,0.133297,160,1
566,-0.790874,0.133382,167,1
567,-0.788473,0.133501,175,1
568,-0.786073,0.133263,174,1
569,-0.783673,0.133246,174,1
570,-0.781273,0.133433,176,1
571,-0.778872,0.133025,167,1
572,-0.776472,0.132872,162,1
573,-0.774072,0.133144,165,1
574,-0.771672,0.133603,167,1
575,-0.769272,0.133739,170,1
576,-0.766871,0.133484,166,1
577,-0.764471,0.133365,163,1
578,-0.762071,0.133654,173,1
579,-0.759671,0.133841,184,1
580,-0.75727,0.133654,174,1
581,-0.75487,0.133178,160,1
582,-0.75247,0.133042,153,1
583,-0.75007,0.133246,157,1
584,-0.74767,0.133042,158,1
585,-0.745269,0.132855,159,1
586,-0.742869,0.132668,161,1
587,-0.740469,0.132974,174,1
588,-0.738069,0.13311,170,1
589,-0.735668,0.132906,164,1
590,-0.733268,0.133042,167,1
591,-0.730868,0.133178,174,1
592,-0.728468,0.133161,174,1
593,-0.726067,0.133501,180,1
594,-0.723667,0.133858,184,1
595,-0.721267,0.13362,182,1
596,-0.718867,0.133042,182,1
597,-0.716467,0.132651,186,1
598,-0.714066,0.132804,195,1
599,-0.711666,0.13294,193,1
600,-0.709266,0.133008,187,1
601,-0.706866,0.1326,182,1
602,-0.704465,0.132379,182,1
603,-0.702065,0.132362,184,1
604,-0.699665,0.132515,187,1
605,-0.697265,0.132804,191,1
606,-0.694865,0.133059,187,1
607,-0.692464,0.133314,179,1
608,-0.690064,0.133416,170,1
609,-0.687664,0.133569,161,1
610,-0.685264,0.133603,153,1
611,-0.682863,0.133348,140,1
612,-0.680463,0.133246,133,1
613,-0.678063,0.133331,136,1
614,-0.675663,0.133467,141,1
615,-0.673263,0.133433,144,1
616,-0.670862,0.133229,146,1
617,-0.668462,0.133093,148,1
618,-0.666062,0.132872,159,1
619,-0.663662,0.132668,165,1
620,-0.661261,0.132821,168,1
621,-0.658861,0.133093,172,1
622,-0.656461,0.133314,181,1
623,-0.654061,0.133195,183,1
624,-0.651661,0.133348,200,1
625,-0.64926,0.133654,212,1
626,-0.64686,0.133195,205,1
627,-0.64446,0.132872,195,1
628,-0.64206,0.132617,190,1
629,-0.639659,0.132532,191,1
630,-0.637259,0.132787,198,1
631,-0.634859,0.133178,199,1
